時間,運動類型,持續時間(分),筆記,正面心情,負面心情,中性心情
2025-05-27,跑步,30,流了很多汗，感覺全身都被喚醒了。,1,,
2025-05-27,瑜伽,45,放鬆身心，呼吸也變得更加順暢。,1,,
2025-05-27,重訓,60,肌肉有些酸痛，但非常有成就感。,1,,
2025-05-27,游泳,40,水中運動讓我身心都放鬆了。,1,,
2025-05-27,飛輪,35,大汗淋漓，燃燒卡路里的快感。,1,,
2025-05-27,快走,50,沿著公園走了一圈很舒服。,1,,
2025-05-27,登山,90,風景很美，雖然累但很值得。,1,,
2025-05-27,籃球,60,朋友一起打球超開心又刺激。,1,,
2025-05-27,跳繩,15,短時間內爆汗，心跳超快！,,,1
2025-05-27,有氧舞蹈,30,音樂加上節奏，運動也能這麼快樂。,1,,
2025-05-27,跑步,25,腳步越來越穩，狀態不錯。,1,,
2025-05-27,瑜伽,60,每個動作都感覺能深入肌肉。,1,,
2025-05-27,重訓,45,今天上半身訓練特別有力。,1,,
2025-05-27,游泳,30,身體放鬆了，壓力也少了些。,1,,
2025-05-27,快走,40,邊聽音樂邊走路，超放鬆。,1,,
2025-05-27,飛輪,50,腿好酸，但覺得自己更有毅力了。,1,1,
2025-05-27,登山,120,風景超棒，雖然累但很值得。,1,1,
2025-05-27,籃球,45,團隊合作真的很重要。,,,1
2025-05-27,跳繩,20,簡單卻高效，燃脂效果超棒。,1,,
2025-05-27,有氧舞蹈,35,每次跳完都心情特好。,1,,
2025-05-27,跑步,40,今天狀態很好，跑得很順。,1,,
2025-05-27,瑜伽,30,身體被完全伸展，很舒服。,1,,
2025-05-27,重訓,55,汗流浹背，肌肉感越來越明顯。,1,,
2025-05-27,游泳,25,水裡的每一刻都很自由。,1,,
2025-05-27,快走,30,輕鬆愉快，不知不覺就結束。,1,,
2025-05-27,飛輪,40,節奏感超強，整個人超有勁。,1,,
2025-05-27,登山,100,空氣清新，讓人忘記都市壓力。,1,,
2025-05-27,籃球,50,跟朋友拼搏很有動力。,1,,
2025-05-27,跳繩,10,短暫爆發力訓練也很有效。,1,,
2025-05-27,有氧舞蹈,45,舞步輕快，讓人停不下來。,1,,
2025-05-27,跑步,35,速度提升不少，滿意今天表現。,1,,
2025-05-27,瑜伽,50,身心放鬆，煩惱也少了些。,1,,
2025-05-27,重訓,70,今天挑戰重量成功，超有成就感。,1,,
2025-05-27,游泳,35,運動後整個人清爽又自在。,1,,
2025-05-27,快走,60,走出好心情，也走出健康。,1,,
2025-05-27,飛輪,30,滿滿汗水，證明努力沒白費。,1,,
2025-05-27,登山,110,山頂風景絕美，一切都值得。,1,,
2025-05-27,籃球,55,不只是運動，也是友誼的連結。,1,,
2025-05-27,跳繩,18,心肺有被挑戰到的感覺。,,,1
2025-05-27,有氧舞蹈,50,音樂讓人更容易堅持下去。,,,1
2025-05-27,跑步,28,雖然累但跑完超有成就感。,1,,
2025-05-27,瑜伽,55,每次伸展都更認識自己的身體。,1,,
2025-05-27,重訓,65,訓練後的痠痛讓人感到踏實。,1,,
2025-05-27,游泳,45,輕盈自在的感覺好迷人。,1,,
2025-05-27,快走,55,邊走邊聽Podcast時間過得很快。,,,1
2025-05-27,飛輪,42,節奏帶動整個人都動起來。,1,,
2025-05-27,登山,95,空氣超清新，心情也跟著飛揚。,1,,
2025-05-27,籃球,60,競賽讓人更有動力去突破。,1,,
2025-05-27,跳繩,12,短暫卻充滿挑戰感。,1,,
2025-05-27,有氧舞蹈,38,每個舞步都讓人更有活力。,1,,
2025-05-28,高爾夫球,30,手好酸。,,1,
2025-05-29,跳繩,15,感覺神清氣爽。,1,,
2025-06-30,跑步,30,好累,,1,
